a ruler is on top of a wallet.
a ruler is on top of a binder.
a ruler is on top of an eggplant.
a ruler is on top of a blender.
a ruler is on top of a can.
a ruler is on top of an apron.
a ruler is on top of a pencil.
a ruler is on top of a cup.
a ruler is on top of a rabbit.
a ruler is on top of a toy.
a soda is at the bottom of a ship.
a backpack is at the bottom of a ship.
a vase is at the bottom of a ship.
a piano is at the bottom of a ship.
a bench is at the bottom of a ship.
a rock is at the bottom of a ship.
a pie is at the bottom of a ship.
a sheep is at the bottom of a ship.
a bowl is at the bottom of a ship.
a saucer is at the bottom of a ship.
