a vase is on top of a body.
a body is at the bottom of a vase.
a soda is at the bottom of a piano.
a backpack is at the bottom of a piano.
a vase is at the bottom of a piano.
a bench is at the bottom of a piano.
a rock is at the bottom of a piano.
a pie is at the bottom of a piano.
a sheep is at the bottom of a piano.
a bowl is at the bottom of a piano.
a saucer is at the bottom of a piano.
a dumpling is at the bottom of a piano.
a screen is at the bottom of a piano.
a sweater is at the bottom of a piano.
a cupcake is at the bottom of a piano.
a ruler is at the bottom of a piano.
a ship is at the bottom of a piano.
a kite is at the bottom of a piano.
a woman is at the bottom of a piano.
a calculator is at the bottom of a piano.
