a horse is on top of a toy.
a horse is on top of a person.
a horse is on top of a blouse.
a horse is on top of an eraser.
a horse is on top of a folder.
a horse is on top of a cake.
a horse is on top of a belt.
a horse is on top of a sandwich.
a horse is on top of a swan.
a horse is on top of a stool.
a cabinet is at the bottom of a horse.
a shoe is at the bottom of a horse.
a pen is at the bottom of a horse.
a helicopter is at the bottom of a horse.
a calender is at the bottom of a horse.
a car is at the bottom of a horse.
a coat is at the bottom of a horse.
a cloak is at the bottom of a horse.
a bag is at the bottom of a horse.
a bouquet is at the bottom of a horse.
