a blanket is on top of a bag.
a blanket is on top of a bouquet.
a soda is at the bottom of a burger.
a backpack is at the bottom of a burger.
a vase is at the bottom of a burger.
a piano is at the bottom of a burger.
a bench is at the bottom of a burger.
a rock is at the bottom of a burger.
a pie is at the bottom of a burger.
a sheep is at the bottom of a burger.
a bowl is at the bottom of a burger.
a saucer is at the bottom of a burger.
a dumpling is at the bottom of a burger.
a screen is at the bottom of a burger.
a sweater is at the bottom of a burger.
a cupcake is at the bottom of a burger.
a ruler is at the bottom of a burger.
a ship is at the bottom of a burger.
a kite is at the bottom of a burger.
a woman is at the bottom of a burger.
