a person is on top of a bat.
a person is on top of a saddle.
a person is on top of a vest.
a person is on top of a plant.
a person is on top of a compass.
a person is on top of a violin.
a person is on top of a globe.
a person is on top of a body.
a soda is at the bottom of a blouse.
a backpack is at the bottom of a blouse.
a vase is at the bottom of a blouse.
a piano is at the bottom of a blouse.
a bench is at the bottom of a blouse.
a rock is at the bottom of a blouse.
a pie is at the bottom of a blouse.
a sheep is at the bottom of a blouse.
a bowl is at the bottom of a blouse.
a saucer is at the bottom of a blouse.
a dumpling is at the bottom of a blouse.
a screen is at the bottom of a blouse.
