a soap is on top of a cupcake.
a soap is on top of a ruler.
a soap is on top of a ship.
a soap is on top of a kite.
a soap is on top of a woman.
a soap is on top of a calculator.
a soap is on top of a clock.
a soap is on top of a jacket.
a soap is on top of a carrot.
a soap is on top of a keyboard.
a camera is at the bottom of a soap.
a jar is at the bottom of a soap.
a laddar is at the bottom of a soap.
a dryer is at the bottom of a soap.
a blanket is at the bottom of a soap.
a burger is at the bottom of a soap.
a wallet is at the bottom of a soap.
a binder is at the bottom of a soap.
an eggplant is at the bottom of a soap.
a blender is at the bottom of a soap.
