a woman is on top of a screen.
a woman is on top of a sweater.
a woman is on top of a cupcake.
a woman is on top of a ruler.
a woman is on top of a ship.
a woman is on top of a kite.
a calculator is at the bottom of a woman.
a clock is at the bottom of a woman.
a jacket is at the bottom of a woman.
a carrot is at the bottom of a woman.
a keyboard is at the bottom of a woman.
a soap is at the bottom of a woman.
a camera is at the bottom of a woman.
a jar is at the bottom of a woman.
a laddar is at the bottom of a woman.
a dryer is at the bottom of a woman.
a blanket is at the bottom of a woman.
a burger is at the bottom of a woman.
