a kite is on top of a can.
a kite is on top of an apron.
a kite is on top of a pencil.
a kite is on top of a cup.
a kite is on top of a rabbit.
a kite is on top of a toy.
a soda is at the bottom of a woman.
a backpack is at the bottom of a woman.
a vase is at the bottom of a woman.
a piano is at the bottom of a woman.
a bench is at the bottom of a woman.
a rock is at the bottom of a woman.
a pie is at the bottom of a woman.
a sheep is at the bottom of a woman.
a bowl is at the bottom of a woman.
a saucer is at the bottom of a woman.
a dumpling is at the bottom of a woman.
a screen is at the bottom of a woman.
a sweater is at the bottom of a woman.
a cupcake is at the bottom of a woman.
