a piano is on top of a clock.
a clock is at the bottom of a piano.
a jacket is at the bottom of a piano.
a carrot is at the bottom of a piano.
a keyboard is at the bottom of a piano.
a soap is at the bottom of a piano.
a camera is at the bottom of a piano.
a jar is at the bottom of a piano.
a laddar is at the bottom of a piano.
a dryer is at the bottom of a piano.
a blanket is at the bottom of a piano.
a burger is at the bottom of a piano.
a wallet is at the bottom of a piano.
a binder is at the bottom of a piano.
an eggplant is at the bottom of a piano.
a blender is at the bottom of a piano.
a can is at the bottom of a piano.
an apron is at the bottom of a piano.
a pencil is at the bottom of a piano.
a cup is at the bottom of a piano.
