a bowl is on top of a woman.
a bowl is on top of a calculator.
a bowl is on top of a clock.
a bowl is on top of a jacket.
a bowl is on top of a carrot.
a bowl is on top of a keyboard.
a bowl is on top of a soap.
a camera is at the bottom of a bowl.
a jar is at the bottom of a bowl.
a laddar is at the bottom of a bowl.
a dryer is at the bottom of a bowl.
a blanket is at the bottom of a bowl.
a burger is at the bottom of a bowl.
a wallet is at the bottom of a bowl.
a binder is at the bottom of a bowl.
an eggplant is at the bottom of a bowl.
a blender is at the bottom of a bowl.
a can is at the bottom of a bowl.
an apron is at the bottom of a bowl.
a pencil is at the bottom of a bowl.
