a sweater is on top of a folder.
a folder is at the bottom of a sweater.
a sweater is on top of a cake.
a cake is at the bottom of a sweater.
a belt is at the bottom of a sweater.
a sandwich is at the bottom of a sweater.
a swan is at the bottom of a sweater.
a stool is at the bottom of a sweater.
a horse is at the bottom of a sweater.
a cabinet is at the bottom of a sweater.
a shoe is at the bottom of a sweater.
a pen is at the bottom of a sweater.
a helicopter is at the bottom of a sweater.
a calender is at the bottom of a sweater.
a car is at the bottom of a sweater.
a coat is at the bottom of a sweater.
a cloak is at the bottom of a sweater.
a bag is at the bottom of a sweater.
a bouquet is at the bottom of a sweater.
a kettle is at the bottom of a sweater.
