a burger is on top of a soap.
a burger is on top of a camera.
a burger is on top of a jar.
a burger is on top of a laddar.
a burger is on top of a dryer.
a burger is on top of a blanket.
a backpack is at the bottom of a soda.
a vase is at the bottom of a soda.
a piano is at the bottom of a soda.
a bench is at the bottom of a soda.
a rock is at the bottom of a soda.
a pie is at the bottom of a soda.
a sheep is at the bottom of a soda.
a bowl is at the bottom of a soda.
a saucer is at the bottom of a soda.
a dumpling is at the bottom of a soda.
a screen is at the bottom of a soda.
a sweater is at the bottom of a soda.
